State,Year,0 to 11,12 to 17,Male,Female,Unknown Gender,White,Black,Amer. Indian/Alaskan Native,Asian/Nat. Hawaiian/Pac Isl,Unknown Race,Pattern
IL,1995,-0.34596717777600594,4.689827275803158,4.767103790516856,2.1476807883028375,-0.10510389060631,1.9371479085150043,6.949819691944946,-0.3365566445941464,-0.2264911699210134,-0.17441905007072317,1
IL,1996,-0.34596717777600594,4.3500270280794835,4.409512562289333,2.1476807883028375,-0.10510389060631,1.3870768283581894,6.626254955200349,-0.3365566445941464,2.7959659039579425,-0.17441905007072317,1
IL,1997,-0.34596717777600594,2.9483510062193257,2.912099294086579,2.456594937136314,-0.10510389060631,1.3870768283581894,4.19951942961587,-0.3365566445941464,-0.2264911699210134,-0.17441905007072317,1
IL,1998,5.007728302045917,1.4192498914627893,1.4370354776480454,1.529852490635885,-0.10510389060631,0.6012609995627396,2.217685417055213,-0.3365566445941464,-0.2264911699210134,-0.17441905007072317,3
IL,1999,-0.34596717777600594,0.803361942463629,0.7889013764856593,0.6031100441354562,-0.10510389060631,0.4833886252434222,0.9638720621698993,-0.3365566445941464,0.27725167572547926,-0.17441905007072317,3
IL,2000,-0.34596717777600594,0.5697492721536026,0.5654068588434571,0.29419589530197987,-0.10510389060631,0.3655162509241047,0.7211985096114515,-0.3365566445941464,-0.2264911699210134,-0.17441905007072317,3
IL,2001,-0.34596717777600594,1.2705872830836817,1.1911915082416231,1.529852490635885,-0.10510389060631,0.7584241653218295,1.651447127752168,-0.3365566445941464,-0.2264911699210134,-0.17441905007072317,3
IL,2002,-0.34596717777600594,0.7821244269808993,0.7665519247214391,0.6031100441354562,-0.10510389060631,0.16906229372524229,1.327882391007571,-0.3365566445941464,-0.2264911699210134,-0.17441905007072317,3
IL,2003,-0.34596717777600594,0.7608869114981697,0.7665519247214391,0.29419589530197987,-0.10510389060631,0.4048070423638772,1.0447632463560486,-0.3365566445941464,-0.2264911699210134,-0.17441905007072317,3
IL,2004,-0.34596717777600594,1.0157370972909257,1.079444249420522,-0.014718253531496415,-0.10510389060631,0.6012609995627396,1.3683279831006456,-0.3365566445941464,-0.2264911699210134,-0.17441905007072317,3
IL,2005,-0.34596717777600594,0.6334618186017916,0.6995035694287783,-0.632546551198449,-0.10510389060631,0.16906229372524229,1.0447632463560486,-0.3365566445941464,-0.2264911699210134,-0.17441905007072317,3
IL,2006,-0.34596717777600594,0.5060367257054136,0.4760090517865762,0.29419589530197987,-0.10510389060631,0.20835308516501477,0.7616441017045261,-0.3365566445941464,-0.2264911699210134,-0.17441905007072317,3
IL,2007,-0.34596717777600594,0.9520245508427367,1.0347453458920817,-0.632546551198449,-0.10510389060631,0.28693466804455975,1.4896647593798695,2.625141827834342,-0.2264911699210134,-0.17441905007072317,3
IL,2008,-0.34596717777600594,0.2724240553953872,0.27486398590859434,-0.3236324023649727,-0.10510389060631,0.16906229372524229,0.3571881807737796,-0.3365566445941464,-0.2264911699210134,-0.17441905007072317,0
IL,2009,-0.34596717777600594,0.6334618186017916,0.6771541176645581,-0.014718253531496415,-0.10510389060631,-0.18455482923271008,1.4087735751937203,-0.3365566445941464,-0.2264911699210134,-0.17441905007072317,3
IL,2010,-0.34596717777600594,0.03881138508536087,0.029020016502172008,-0.014718253531496415,-0.10510389060631,0.051189919405924836,0.03362344402918252,-0.3365566445941464,-0.2264911699210134,-0.17441905007072317,0
